uεόν,renovatur,induo
κατάσκοπος,explorator,Raab
καταβάλλω,deicio,perfectio
καταβαρέω,astutus,dolus
καταβραβεύω,humilito,frustror
καταγελάω,puella,derideo
καταγωνίζομαι,adipiscor,obturaverunt
καταδικάζω,condemno,dimitto
καταδυναστευόυσιν,potentia,exhonoro
καταισχύνω,confundo,eligo
κατακαλύπτω,mulier,tondeo
κατακλείω,includo,carcer
κατακλύζω,inundo,pereo
κατακολουθέω,subsequor,positus
κατακύπτω,inclino,iterum
κατακυριευόυσιν,dominor,princeps
καταλαλιά,qualis,fors
καταλείβω,derelinquo,duodecim
καταλιθάζω,lapido,Iohannem
καταλλαγήτωκαί,innubo,dimitto
καταμανθάνω,neo,lilium
καταναλίσκω,consumo,etenim
κατανοέω,considero,oculo
καταξιόω,dignus,patior
καταπέτασμα,scissus,velum
καταπλέω,enavigaverunt,Galilaeam
καταράομαι,benedico,maledico
καταρτίζω,perficio,apto
κατασκάπτω,suffodio,relinquo
κατασκηνόω,similis,acceptum
κατασκοπέω,fallo,libertas
καταστολή,orno,habitus
καταστροφεύς,contendo,subversionem
κατασφραγίζω,signo,foris
κατατομή,videte,concisio
καταφεύγω,confugio,Lycaoniae
καταφρόνησις,alter,servire
καταχέω,mulier,recumbo
καταψύχω,miseror,Abraham
κατέρχομαι,descendens,Antiochiam
κατεάξαν,frango,crus
κατεκαή,comburo,tertius
κατενοήσεν,consideravit,emortuus
κατεξουσιάζω,dominor,princeps
κατεσθιέι,voluerit,redigo
κατεσκευάσεν,iustitia,fidus
κατεφίσταμαι,animus,insurgo
κατήφεια,lugeo,convertatur
κατηγοριάν,accusatio,adversus
κατιώται,manduco,thesaurizo
κατοικητήριον,immundus,cado
κατοικουλτγτντες,ignoro,propheta
καύχημα,glorior,gloria
καῦμα,aestus,aestuaverunt
καυσόω,solventur,elementum
καφαρναούμ,Capharnaum,usque
κέλλω,panis,turba
κέραμος,invenientes,turbo
κέρμα,quasi,eicio
κεκοπιάκες,deficio,sustineo
κεῖμαι,pono,positus
κενόδοξος,provocantes,invidentes
κενοδοξιάν,contentio,invicem
κεντυριών,adverso,sic
κενχρεαῖς,Phoebem,Cenchris
κεραμεύς,massa,figulus
κερατιών,manduco,nemo
κερεάν,facilis,praetereo
κεφαλαιόυ,consequor,civitatem
κήρυγμα,praedicatio,sapientia
κῆρυξ,praedicator,apostolus
κηρύσσω,praedico,praedico2
κιβωτός,arca,Noe
κιθαρῳδέω,vocem,amplus
κινδυνεύω,obdormio,navigantibus
κινέω,moventes,blasphemo
κλάσις,fractio,panus
κλαδάω,ramus,aliquis
κλαιέις,mulier,ubius
κλαιόντας,ploro,heiulor
κλαιόυσαι,exsurgo,fleo
κλαιών,inimicus,fleo
κλαυδιά,festinus,saluto
κλέμμα,furtum,homicidium
κλείς,clavem,nemo
κλεός,suffero,benefacio
κλήμεντος,adiutor,rogum
κλῆσις,vocationis,vocatione
κληρονομέω,possideo,aeternus
κληρονομιάς,heredito,redemptio
κλίνη,lectus2,pono
κλινίδιον,dimitto,peccatum
κλοπή,homicidium,adulterium
κλωπίδαι,Maria,iuxta
κόκκινος,lapis,pretiosus
κόλπος,sinus,mensura
κόπτω,plango,via
κόρος,deinde,allium
κόφινος,fragmentum,cofinos
κοίτη,cubile,Rebecca
κοιλιάι,gigno,ventres
κοιμάω,dormio,resurgo
κοινωνέω,communico,gaudeo
κοινωνιᾴ,communicatio,fractio
κοινωνικός,communico,facilis
κολάζω,reservare,comminor
κολλάω,adheret,adhesit
κολοβόω,eligo,salva
κολυμβήθρα,piscina,Probatica
κομέω,come,velamine
κονιάω,lego,percutio
κοπετός,planctus,curaverunt
κορασιῴ,puella,affero
κοπιάω,laboro,Domino
κορέννυμι,regno,iam
κορνήλιος,Cornelius,vir
κοσμέω,orno,scopa
κοσμοκράτωρ,adversus,caelestis
κουστωδιάν,custodio,Pilatus
κράβαττόν,grabattum,tollo
κράσπεδον,tango,fimbria
κρᾶζον,Spiritum,Abba
κραβάττων,infirmus,umbro
κραταιόομαι,conforto,viriliter
κραυγάζω,clamo,rex
κρείσσων,melioro,testamentum
κρής,Cretenses,piger
κρημνός,abeo,porcus
κρίμα,iudicium,damnatio
κρῖμα,iudicium,quare
κρίνω,iudico,lego
κρούω,Rhode,pulso
κριτής,iudico,iudex
κρουόντι,pulso,quaero
κρύπτης,ingredior,nemo
κρυπτός,abscondo,occultus
κρυφῇ,turpe,occultus
κτήτωρ,vendebant,pretio
κτίστης,ita,benefacio
κτίζω,sive,creatura
κύμινον,misericordia,relinquo
κύπτω,inclino,tento
κύων,caneo,ulcus
κυβερνήτης,gubernator,destituo
κυκλεύω,ignis,seduco
κυλισμός,sus,lauo
κυνάριον,at,Domine
κυπριῴ,Caesarea,hospitor
κυρηναιο͂ν,Simonem,crux
κυρηνιόυ,descriptio,Cyrino
κυριακός,dominicus,convenientibus
κυριευόμεν,adiutor,dominor
κυριότης,sive,dominatio
κυριῴ,Domino,saluto
κυρόω,confirmo,superordino
κώνωψ,culix,gluttientes
κωλύω,prohibeo,possum
κωλυέσθαι,idcirco,permaneo
κωμόπολις,praedico,ibi
λάζαρε,Lazare,clamavit
λάζω,animus,deficio
λάμεχ,Sem,Lamech
λάρυγξ,pateo,guttur
λαῖλαψ,procella,venti
λαλάζω,lingua,Pater
λαλούν,supervenerunt,Sadducaei
λαμπάς,lampas,fatua
λανθάνω,lateo,hospitalitas
λαοδικεών,Laodicensium,epistula
λαοδικιάς,Laodicensium,epistula
λατρειά,Israhelitae,adoptio
λατρεύω,servies,Dominum
λατρευόντας,nullus,peccatum
λατρευόυσιν,thronus,caelestis
λατρευώμεν,ita,serviamus
λέπρα,mundo,lepra
λεγιών,nome,Legio
λείπω,desum,indigeo
λειτουργιᾴ,congratulor,immolo
λειτουργός,minister,praesto2
λεντιῴ,deinde,coepi
λεπίς,squama,visum
λεπτός,minutus,pauperculus
λευείς,Levi,convivium
λευειτικῆς,ordino,sacerdos
λευκός,albis,sedeo
λήμψεταί,aestimo,Domino
λῆθος,oblivionem,veterum
λημψόμεθα,sumo,magister
λίβανος,tus,invenerunt
λίμμα,reliquiae,electio
λίνος,festinus,saluto
λιβανωτός,alto,ante
λιθάζω,lapido,angustio
λιθόστρωτος,Pilatus,adduco
λιμένες,iuxta,navigantes
λιμός,fames,an
λόγιον,eloquium,primus
λόγος,edo,verbum
λογιάι,unusquisque,collecta
λογισθειή,reputo,derelinquo
λογομαχέω,contendo,subversionem
λοιδορέω,maledico,patior
λοιμός,seditio,pestilentia
λοιπός,ceterus,quicumque
λούω,mundus2,lavissent
λτγτ̓πό,rex,regredior
λτγτωφρονίζωσι,adulescentula,prudentia
λύκος,lupus,oves
λύστρα,Lystris,Lystram
λύφθησαν,beatum,remitto
λυδιά,mulier,audivit
λυέτε,solvitis,pullum
λυκιάς,Lyciae,pelagus
λυόυσιν,solvunt,bivio
λυσιάς,Lysias,Felici
λυτρωτός,princeps,Mosen
λυχνιάι,septem,candelabrum
λώτ,Loth,oppressus
μάκελλος,macellus,conscientia
μάμμη,primus,fides
μάρθαν,Martham,Mariam
μάρμαρος,lapis,pretiosus
μάταιος,vanae,devita
μάχη,devita,lito
μᾶλλον,magus,quantus
μαγδαληνή,Maria,Magdalene
μαγευών,aliquis,vir
μαδιάμ,generavit,Madiam
μαθητής,discipulus,dico2
μαθθαιο͂ν,Mattheum,Thomam
μαθουσαλά,Iared,Mathusalae
μακαρίζω,misericors,humilitas
μακαριόυ,beatum,gloria
μακεδονιά,probaverunt,collatio
μακεδονιάς,Macedonia,Macedoniam
μακρός,longus,sequor
μακροθυμιᾴ,patior,doctrina
μακροχρόνιος,longevus,benus
μαλακόω,mollia,exeo
μαμωνᾷ,alter,servire
μανθάνω,disco,gigno
μαρά,maranatha,anathema
μαργαρίτης,singulus,margaritum
μαριάμ,Maria,Mariam
μαρτύρομαι,testimonium,perhibeo
μαρτυριάι,testimonium,convenientia
μαρτυριόυ,testimonium,tabernaculum
μαστιγόω,flagello,resurgo
ματαιάς,corruptibilis,vana
ματαιολόγος,vaniloqui,inoboedio
ματταθιόυ,Matthathiae,Amos
μέγεθος,virtutis,potentia
μέλαινα,iuraveris,album
μέλι,mel,camelus
μέλω,cura,pertineo
μέντοι,tamen,nemo
μέρα,pars,secedo
μέση,medius,circumfulgeo
μέτρησις,murus,civitatem
μέχρι,usque,mors
μεγαλη,mysterium,mater
μεγαλύνω,magnifico,spes
μεθερμηνεύω,interpretor,puella
μεθιστάνω,scientia,caritas
μεθοδιάς,insidior,induo
μεθυέι,ebrius,exsurio
μείγνυμι,misceo,bibo
μελεά,Matthata,Nathan
μελχεί,Melchi,Her
μεμιάνται,mundus2,conscio
μεμυήμαι,abundo,satio
μενον,splendidus,crystallum
μερίς,pars,Belial
μεριστός,divisorem,at
μεσιτεύω,iusiurandum,heres
μεσονύκτιον,an,nox
μεσοποταμιάν,Pontum,Parthi
μεσσιάς,Messias,Christus
μετ̓,bellum,reddo
μετάγω,circumfero,dirigo
μετάνοια,paenitentia,contristo
μεταδίδωμι,tribuo,desidero
μεταίρω,consummo,iste
μεταλαμβάνω,cibus,peccatum
μεταμελέομαι,sacerdos,ivit
μετανοήσον,paenitentia,ago
μεταπέμπω,arcesso,dubitatio
μετατίθημι,transfero,translatio
μετέχω,particeps,participo
μετοικεσιάν,Salathihel,gigno
μετοχή,iugus,iniquitas
μετριοπαθέω,condoleo,erro
μήνυσις,cognoverit,apprehendo
μήτε,manduco,bibo
μήτις,numquid,nonne
μῆκος,longitudo,latitudo
μηδέπω,iustitia,fidus
μηδίς,clerus,animus
μηλωτή,angustio,melota
μητερα,mater,honorus
μητρολωᾴις,subditus,lex
μίλιον,angariaverit,patior
μιά,uno,duo
μιασμός,blasphemo,audax
μιμητής,imitator,patior
μισθαποδότης,inquiro,sinis
μισθωτός,mercenarius,oves
μισθός,merces,propheta
μν́,omnino,iuror
μνᾶ,mina,decem
μνήμη,obeo,horus
μνημειόις,miror,monumentum
μνημειῴ,monumentum,pono
μνημονεύω,paenitentia,veniam
μνημονευόντες,vigilate,triennis
μνημονευέτε,memoro,recordor
μνηστεύω,desponsor,Maria
μόυ,cooperator,necessaria
μοιχάω,moechor,dimitto
μοιχειᾶι,furtum,malus
μοιχευέιν,moechor,sacrilegium
μοιχός,adulterium,servientes
μολυσμός,carus,igitur
μονόφθαλμος,oculus,duo
μορφή,forma,effigies
μόνος,solus2,tantus
μουσική,amplus,vox
μύρα,sileo,paraverunt
μύρω,unguentum,pedes
μυελός,cogitatio,quisque
μυλικός,inpono,utilis
μυριόυς,Christo,milium
μυστήριον,mysterium,septem
μυστηριών,dispensator,existimo
μῶμος,luxurio,existimantes
μωραίνω,ubius,stultus
μωριάν,crucifixum,praedico2
μωρολογιά,stultiloquium,scurrilitas
μωυσῇ,forma,desertum
νάρδον,unguentum,pedes
ναγγαί,Amos,Naggae
ναζαρέτ,Nazareth,civitatem
ναζωραιο͂ν,Nazarenum,interrogavit
ναζωραιών,seditio,seco
ναί,etiam,Domine
ναύκληρος,nauclerio,gubernator
ναός,templum,aedifico
ναυαγέω,ter,fides
νέος,horto,iuvenes
νέω2,sentio,numerus
νεανιόυ,lapido,suscipio
νεανίσκος,adulescens,scribo
νεομηνιάς,festus,potus
νεφθαλείμ,Nepthalim,Zabulon
νεωκόρος,sedo,turbo
νήθω,neo,lilium
νῆσος,insula,nave
νεκρόω,resurgo,resurrectio
νηπιόις,Pater,parvulis
νηρεά,saluto,Olympiadem
νηστεία,Pisidiam,Pamphiliam
νηστεύω,ieiuno,sponsus
νηστευόμεν,ieiuno,accedo
νηστευώ,possideo,decima
νηφαλιόυς,pudicus,sobrio
νῖκος,vicerit,nome
νικόδημος,Nicodemus,quomodo
νικολαϊτῶν,Nicolaitarum,odi
νιπτήρ,deinde,coepi
νόμιμος,legitimus,certaverit
νόος,oro,mens
νοέι,intellego,Dominus
νομή,pascuus,Philetus
νομοδιδάσκαλος,doctor,sedeo
νοόω,intellego,invisibilibus
νοσσιάν,Hierusalem,lapido
νουθεσιά,provocare,correptio
νουνεχής,audeo,interrogo
νύσσω,nox,tertius
νυμφιός,sponsus,ieiuno
νυνί,sollicitus,peccatum
νῶτον,incurva,dorsum
νωτίζω,undecim,percipio
ξένων,resurrectio,vult
ξενιάν,hospitium,donarium
ξηραίνω,aruo,faenum
ξπέρμα,semen,Isaac
ξυρέω,caput,mulier
ὄγκος,certamen,inpono
ὄλεθρος,interitus2,salvus
ὄμμα,oculus,interrogavit
ὄνειδος,opprobrium,aufero
ὄντως,vere,viduas
ὄργυια,invenerunt,patior
ὄρνεον,saturo,caro2
ὄσφρησις,ubius,totus
ὄφις,serpo,numquid
ὄψις,facies,iudico
ὀδούς,dens,stridor
ὀδυρμός,consolor,vestrum
ὀθόνη,vas,linteum
ὀθονιών,linteamen,positus
ὀκταήμερος,Hebraeis,Hebraeus
ὀλιγόπιστος,fides,modicus
ὀλιγωρέω,obliuiscor,arguo
ὀλολύζω,miseria,advenient
ὀμνυέι,iuro,alto
ὀμνυόυσιν,controversiae,iuro
ὀνειδισμός,improperium,opprobrium
ὀνίνημι,Domino,Sychem
ὀξειᾶ,os,gladius
ὀπτασιᾴ,visionis,caelestis
ὀπώρη,pereo,iam
ὀπίσω,post,retro
ὀργίζω,irascor,reus
ὀρεών,servus,libo
ὀρθοποδέω,veritatem,quomodo
ὀρθρινός,monumentum,muliero
ὀρνεόις,cena,clamavit
ὀρφανός,orfanos,immaculatus
ὀστέον,comminuo,scriptura
ὀστράκινος,fictilis,vasis
ὀσφυές,lumbus,praecingo
ὀφείλημα,debitum,dimitto
ὀφειλή,debitum,timor
ὀφθαλμοδουλιάν,animus,servientes
ὀχλοποιέω,quaero,malus2
ὀψαριών,piscis,prendidistis
ὀψιά,sero,descendo
ὀψωνέω,expoliavi,ministerium
ὅδε,ecclesia,scribo
ὅμοιος,similis,simila
ὅπου,ubius,locus
ὅρασις,simila,vestri
ὅρμημα,lapido,quasi
ὅσιος,corruptionem,Sanctum
ὅταν,venerit,videritis
ὁδευών,Samaritanus,misericordia
ὁδός,viam,via
ὁδοιποριάς,fons,ibi
ὁλοκαύτωμα,holocaustomata,peccatum
ὁλτγττι,testamentum,apprehendo
ὁμιλιάι,ignorantia,reverentiam
ὁμόω,tamen,sive
ὁμοιά,similis,sedes
ὁμοιόω,similis,aestimo
ὁμοιώσιν,maledico,benedico
ὁμολογιάν,confessio,indeclinabilis
ὁπλίζω,patior,carnis
ὁποιο͂ί,nihil,videbantur
ὁρατής,sive,principor
ὁριών,finis,exeo
ὁρμάω,Gaio,animus
ὁροθεσιάς,universam,definio
ὁσιόυς,disceptatio,levantes
οἰ,interficio,ambulo
οἶδα,scio,dico2
οἰκέτης,dominus,duo
οἰκειόυς,opero,fides
οἰκετειάς,prudens,cibus
οἰκιά,dispertior,sto
οἰκιάς,an,prolixus
οἰκοδεσποτέω,familia,fur
οἰκοδομεύς,aedifico,aedificatio
οἰκονόμος,dispensator,prudens
οἰκονομιάν,dispensatio,invitus
οἰκουργός,castus,blasphemo
οἰκτιρμός,misericordia,miseratio
οἰνοφλυγιάις,idolum,luxuria
οιἅ,initium,qualis
οιὄμενοι,contentio,sincerus
οιὁ͂ί,absento,praesento
οὔτε,nubo,mors
οὐδαμῶς,Iuda,nequaquam
οὐδέπω,nondum,hortus
οὐδεμιάν,nullus,nisus
οὐράνη,similis,paruus
οὐρανιῴ,visionis,caelestis
οὐριόυ,Uriae,Salomonem
οὐ,non,edo
οὕτως,sic,ito
ουἄ,moventes,blasphemo
πάγος,atheniensis,Ariopagi
πάθος,servitus,fornicatio
πάομαι,infirmitas,potestas
πάρθος,Pontum,Parthi
πάροινος,vinolentum,percussor
πάσχω,patior,oportet
πάφος,perambulo,insula
παγιδεύω,ineo,capero
παίω,cruciatus,quin
παιδαγωγός,Christo,pedagogo
παιδειάν,inspiro,arguo
παιδευέι,castigo,perseverate
παιδευτής,eruditor,obtempero
παιδιά,puer,parvulos
παιδιόυ,puella,puer
παλαιή,mandatus,vetus
παλαιόω,veterescent,novum
παλινγενεσιάς,misericordia,iustitia
παμφυλιάς,discedo,Paulus
πανήγυρις,frequentia,viventis
πανοῦργος,astutus,dolus
πανπληθεί,Barabban,dimitto
πανταχοῦ,ubi,Domino
παντοκράτωρ,procedo,omnipotens
παρά,ab,edo
παράδεισος,paradisus,arcanum
παράκειμαι,adiaceo,invenio
παράπτωμα,delictum,dimitto
παραβάτης,rearguo,transgressor
παραβατέω,moechor,circumcisio
παραβολή,parabola,similitudo
παραγγελιάν,praecipio,interior
παραδέχομαι,suscipio,recipio
παραθέω,pono,amicus
παραινέω,iam,animus
παραδίδωμι,trado,Filius
παρακοάω,constituo,unius
παρακούω,ecclesia,ethnicus
παρακαλέω,rogo,consolor
παραλέγω,iuxta,adspiro
παραλημφθήσεται,relinquo,duo
παραλογίζομαι,subtilitas,fallo
παραμένω,permaneo,idcirco
παραμυθιάν,prophetat,aedificatio
παραπαθημάτων,exhortatio,vestra
παραπλέω,pentecosten,festino
παραπορεύομαι,moventes,blasphemo
παρασκευή,sabbatum,parasceve
παρατηρέω,observabant,observatis
παραυτίκα,leve,momentaneus
παραφρονιάν,mutum,correptio
παραχρῆμα,confestim,continuus
παρεδρευόντες,altaria,sacrarius
παρεισάγω,perditio,celer
παρεισφέρω,scientia,fidus
παρεπικραίνω,exacerbaverunt,Aegypto
παρηκολοίθησάς,dilectio,adsequor
παρεμβολή,castro,iubeo
παρίημι,erigo,genu
παριστήκεισαν,vestibus,duo
παροίχομαι,fructifer,pluvias
παροικιάς,acceptio,sinis
παροιμιάς,sus,lauo
παροξυσμός,invicem,provocationem
παροτρύνω,muliero,primus
παρουσιάν,adventum,fabula
παρρησιά,fiducia,repletus
παρρησιάν,fiducia,ita
παςχα,dolus,teneo
πατέω,civitatem,supra
πατριά,paternitas,benedico
πατρικός,proficio,traditio
πατροπαράδοτος,corruptibilis,vana
πατρωῴͅ,propheta,sic
παυέται,fallo,testis
παχύνω,auris,oculus
πέμπτος,Pater,testimonium
πένομαι,dispersit,iustitium
πέρα,mons,legitima
πέργαμος,scribo,ecclesia
πέριξ,curo,affero
πέτομαι,similis,animal
πέτροσ̓,Iohanna,vocaberis
πεζευέιν,Asson,indo
πείρω,contineo,avaritia
πεινάω,exsurio,sitio
πειράζω,tento,nemo
πεισμονή,persuasio,vocat
πενθερά,socrus,mater
πεντάγωνος,tetrarches,Caesaris
πεντακισχιλιόυς,quin,fragmentum
πεντακοσιόις,visus,quingenti
πεπαλαιώκεν,veteravit,antiquo
πεποιήκεν,Filio,testimonium
περατόω,surgo,haustrum
περίκειμαι,inpono,circumdo
περίσσευσις,abundo,actio
περιάγω,circumeo,infirmitas
περιβολαιόυ,come,velamine
περιέργοι,otiosus,disco
περιεργάζομαι,inquies,opero
περιβάλλω,amicio,cooperio
περιιάπτω,medius,accensus
περικε,sobrius,galea
περικρατέω,obtineo,Caudam
περιλάμπω,circumfulgeo,timor
περιόικοι,misericordia,congratulor
περιοχή,sinis,occisio
περιπίπτω,incido2,temptationibus
περιποιήσιν,adquisitionem,vocavit
περισπάω,relinquo,ministerium
περισσεύω,abundo,fragmentum
περισσευέτε,abundo,gratia
περισσευόμεν,manducaverimus,deficio
περισσευόντος,abundo,victum
περισσευώ,repletus,accepta
περιστερός,turtur,par
περιτιθεάσιν,spinea,inpono
περιτρέπω,insanio,ratio
περιφρονέω,arguo,exhortor
πετάω,tempus,duo
πετρον,devenire,universos
πήγανον,Pharisaeis,caritas
πῆρος,remissio,teneo
πηγαί,aqua,fons
πηδαλιών,iungo,aufero
πηλόω,massa,figulus
πίναξ,discus,caput
πιέ,epulor,annus
πιέται,ira,conspectus2
πιήτε,manduco,invicem
πικραίνω,uxor,amo
πικριάς,amaritudo,obligatio
πιπράσκω,trecenti,venundari
πιλᾶτος,Pilatus,rex
πιστευέι,manduco,suffero
πιστευέται,confessio,iustitia
πίστις,fides,fidus
πιστευῄ,quicumque,mons
πιστευόντα,remissio,peccatum
πιστευόντι,iustitia,Iudaeo
πιστός,fidelis,carus
πιστευών,aeternus,vitam
πιώ,bibo,vitis
πλάνη,error,saeculum
πλάσμα,numquid,sic
πλατειάις,platea,contendo
πλατύνω,dilato,Corinthii
πλέω,obdormio,navigantibus
πλειόνές,idcirco,permaneo
πλανάω,erro,seduco
πλειόσιν,beneplacitum,salvamini
πλεόνασις,gratia,abundo
πλεονέκτης,rapax,avari
πλειο͂ν,surgo,condemno
πλεονεξιᾴ,avaritia,malignitas
πλεονεξιάς,avaritiae,maledictio
πλήθω,harena,uno
πλήξ,plaga3,illa
πλήρωσις,impleo,iucunditas
πληγάς,plaga3,septem
πληθυνθειή,pax,adimpleo
πληροφοριάν,ostento,idem
πλησμονή,honorus,humilito
πλοιᾶ,naves,navi
πλοός,iam,ieiunium
πλοιο͂ν,navem,ascendo
πληρόω,impleo,propheta
πλουσιόυ,divitis,ulcus
πλοῦτος,divitias,divitiae
πνεόντος,flo,exsurgo
πνέω,venti,inruo
πλουτέω,divites,regno
πνευματόω,allium,curo
πνοή,repens2,inspiratio
πόντιος,Pilatus,vere
πόρνη,meretrix,membro
πόσος,quantus,magus
πὀλεως,nome,egredior
ποίμνη,grex,pastor
ποιᾴ,potestas,interrogo
πόλις,civitatem,civitate
ποιήσον,sub,allium
ποικίλος,variis,temptationibus
ποιμανεῖ,rego,Iuda
ποιμνιῴ,episcopus,adquisivit
ποιο͂ν,glorior,suffero
πολεμέω,pugno,draco
πολίτης,unusquisque,civium
πολιτειάς,sinis,conversatione
πολιτικός,saepes,frequenter
πολυλογιᾴ,multiloquium,ethnicus
πολυτελέω,orno,habitus
πον,hereticum,devita
πονηριάι,avaritiae,dolus
πονηρός,malus2,malus
ποπλιόυ,inpono,oro
πορειάν,ito,castellum
πορευέσθαιἕως,dimitto,statim
πορευόμαι,vado,Patrem
πορθέω,aliquando,expugno
πορνειᾴ,moechor,dimitto
ποιέω,facio,dico2
πορνειᾶι,homicidium,adulterium
πορνευών,extra,fornicatio
πορφύρω,purpureus,circumdo
ποσόω,quot,quin
ποταμοφόρητος,flumen,muliero
ποταπήν,novit,videte
ποτηριῴ,misceo,reddo
ποτε,aliquando,quando
ποτίολοι,Puteolos,circumlego
πού,testatus,memor
πράκτωρ,apud,iudico
πολύς,multus,multa
πρᾶξις,actus,membro
πραγματιάις,probavit,negotium
πραιτωριῴ,praetorius,vincula
πραΰτητα,litigiosus,benignitas
πραϋπαθιάν,sector,mansuetudo
πρεσβευώ,fiducia,mysterium
πρεσβυτέριον,princeps,sacerdos
πρηνής,possideo,viscera
πρίσκα,saluto,ecclesia
πρίσκιλλαν,Aquilam,accedo
πρέσβυς,senex,sacerdos
πρόγονος,puro,sinis
πρό,ante,prior
πρόκριμα,electa,sinis
πρόθεσις,propositum,sacerdos
πρόσπεινος,exsurio,paro
πρόσκομμα,offensio,offendiculum
πρόσχυσις,primitiva,vastabat
πρόχορος,fidus,eligo
προαιρέω,prout,hilaro
προαμαρτάνω,praedico2,iterum
προβάτιον,amo,Domine
πρόσωπον,facies,ante
προβεβηκυιᾶ,procedo,uxor
προγίγνομαι,remissio,iustitia
προδίδωμι,retribuo,prior
προέχω,praecello,causor
προεπαγγέλλομαι,quasi,benedictio
προηγέομαι,invicem,fraternitas
προθυμιάν,animus,promptus2
προκαταρτίζω,quasi,benedictio
προΐστημι,praesum,benus
προκόπτω,proficio,inaniloquium
προλαμβάνω,unguere,ebrius
προμαρτύρομαι,significo,Christo
προνοέω,malus2,coram
προοίμιον,semper,Dominum
προπάσχω,afficio,patior
προπετής,protervi,voluptatium
προσάγω,offero,nox
προσαίτης,sedeo,ita
προσανατίθεμαι,nihil,videbantur
προσδέχομαι,exspecto,resurrectio
προσδοκέω,exspecto,an
προσέχω,intendo,attendo
προσεύχομαι,oro,oratum
προσηλόω,contrarium,affigo
προσκαρτερέω,oratio,insto
προσκλίνω,virorum,aliquis
προσκοπή,vituperetur,offensio
προσκυνητής,adoro,quaero
προσμένω,misereo,dimitto
προσπήγνυμι,interimo,praescientia
προσπορευόνται,accedo,peto
προστάτις,Domino,suscipio
προσφάγιον,pulmentaris,numquid
προσφορά,oblatio,sanctifico
προσωπολήμπτης,acceptor,conperi
προσωπολημψιάις,acceptio,gloria
προτρέπω,vellet,exhortor
προφέρω,malus2,cor
προφητειά,allium,prophetia
προφητειάς,prophetia,liber
προφητευέιν,prophetare,aemulor
προφητευόυσα,caput,velato
προφητευώσιν,diiudico,prophetent
προχειρίζω,appareo,refrigerium
πρώτως,cognomino,primus
πρωΐ,mane,an
πρωτευών,teneo,primatus
πρωτοκαθεδριάς,primus,cathedra
πρωτοστάτης,seditio,seco
πταίω,offendo,aemulor
πτέρνα,scriptura,manduco
πτηνός,caros,volucrum
πτολεμαίς,saluto,apud
πτύσσω,plicuisset,reddo
πτω,paupero,manus
πτωχειά,experimentum,gaudium
πτωχεύω,gratia,dives
πύθων,quaestus,praesto2
πύργος,turris,parabola
πύρωσις,incendium,civitati
πυκνός,frequenter,bibo
πυνθάνομαι,interrogo,interrogavit
πυρετός,febrio,dimitto
πυρόω,uro,infirmo
πυρρός,caput,septem
πώρωσις,caecitas,extendo
πωλέομαι,passer,veneunt
πρόπους,ad,dico2
πωρόω,intellego,cur
ῥαντίζω,sanguis,populus2
ῥίπτω,proicio,armamenta
ράντοις,fabulus,praesto2
ρἅβδου,adoravit,fastigium
ρἅπισμα,alapa,sic
ρἁββεί,rabbi,have
ρἁβδοῦχοι,lictor,magistratus
ρἁντισμόν,praescientia,multiplico
ρἁπίσμασιν,caedo,prophetizo
ρας,Sanctum,inpono
ρἥμασιν,verbis,littera
ρἑδῶν,ovium,anima
ρἥματι,verbo,lavacro
ρἥξει,vinum,uter
ρἧγμα,sinis,aedifico
ρἧξον,parturio,magus
ρἡμάτων,verborum,memoro
ρἵζαν,radix,arbor
ρἵψαντες,incido2,aspero
ρἱπῇ,immuto,momentum
ριόυ,numerus,intellego
ρὕεσθαι,reservare,pius
ρὁμφαία,gladius,os
ρὕμην,vicum,continuus
ρὕσεται,eripio,eruo
ρὗσαι,temptationem,malus2
ρὑπανθήτω,adhuc,noceo
ρὑπαρός,adhuc,noceo
ρὑσθῶ,libet,oblatio
ρώτησεν,iam,interrogavit
σάλος,fluctus,prae
σάπφειρος,fundamentum,murus
σάρεπτα,viduam,Sareptha
σάρρα,Sarra,promitto
σάτον,fermento,similis
σαββατισμός,sabbatismus,ita
σαδδουκαιο͂ι,Sadducaei,resurrectio
σαίνω,moveatur,nemo
σαλαμίς,ministerium,venissent
σαλευόντες,praedico,turbo
σαλμώνη,vix,vento
σαλπιστῶν,amplus,vox
σαμαριά,apostolus,Iohannem
σαμαριάς,Samariae,Samariam
σαμψών,deficio,Samuhel
σαργάνη,sporta,effugius
σαούλ,Saule,persequor
σαρκάζω,saturo,caro2
σαρόω,scopa,invenit
σατανᾷ,trado,Satanae
σβέννυμι,extinguere,extingo
σεβαστός,appello2,conperi
σελήνη,sol,luno
σεισμός,terraemotus,voces
σεμίδαλις,ovium,anima
σεμνύνω,sobrio,pudicus
σεαυτοῦ,proximi,diligo
σήθ,Seth,Enos
σήπω,putrefacio,comesta
σημειο͂́ν,fidelis,infidelis
σηρικός,lapis,pretiosus
σημειᾶ,signum,prodigium
σίδηρος,lapis,pretiosus
σιαγών,alter,percutio
σιδήρεος,ferreus,rego
σικαριών,virorum,milium
σιλωάμ,lava,vade
σινάς,mons,Sina
σινιάζω,Simon,expetivit
σιτιστός,iterum,taurus
σίμων,Simon,Petrus
σκάπτω,fodio,dominus
σιωπάω,taceo,Sion
σκέλος,frango,crus
σκευέι,pono,vaso
