τριάριοι,triarii
διακροτέω,transforo
ἀπόερσε,euersus
περίπτωσις,prolapsus
τλησικάρδιος,toleratio
συνοίομαι,assentatio
διαπιστεύω,fidentia
ἐντήκω,fusilis
ἄζω,siccatio
ψευδεγγραφῆς,intrabilis
νοσφισμός,furatrina
αἰώρημα,dependulus
ἄσπερμος,semento
εἰσαγγέλλω,obnuntio
μηδέπω,nondum
προσπλάσσω,crementum
ἑανός,multaticius
θύσθλα,thiasus
διαψήφισις,suffragor
προσορίζω,determino
νησιώτης,insularis
ἁλατοπωλία,praesulsus
δυσόμιλος,aduiuo
εἴσκειμαι,epibata
εὐχαριστήριος,linguosus
ἐκτύπωμα,considerantia
σκάλμη,ensiculus,ensiger
φίληβος,iuuentas,iuuenta
γαυρότης,laetatio
πολύκαρπος,fructifer,ferax
ἐπαφαίρεσις,interceptio,ablatio
παραβοήθεια,auxiliatrix
σωφρονητέον,gleucinus
κοιταῖος,euphrone
ἐφέπω,prosequor
θεοπροπία,fatus
πόριμος,transitorius
τειχοδομία,extramuranus,intermuralis
γυναικομανέω,mulierositas
ἀειφανής,nitefacio
φατίζω,repromitto
ὠχρίασις,luror
οἰνοβαρής,uinarius
τετρασκελής,quaternarius
πύσμα,conuinctio
ἀνανταγώνιστος,pellico
παγκοίτης,perdormisco
ἰσοτύραννος,monarchia
κόνδυλος,condylus
ἐμπηδάω,assilio,tripudio
ἐπισμάω,perlino
ὑπεραυχέω,superbificus,superbiloquentia
προδείκνυμι,praeduco
συνουσιαστικός,consuetio
βοηθόος,improperus
ταλαιπωρίζω,commiseresco
κακοπραγής,maleficentia
ἀπότομος,austerus
οὐ,non,neque
χρυσοειδής,aurosus,aurarius
πέτασμα,diuexus
ἀλλοτριότης,distinctus
ἐπιπλάζομαι,circumuagor,aderro
πρακτήρ,gerulus
πήδησις,uerberatus
ἀπεψία,indigestio,crudito
συγκατακτάομαι,insimul
χθόνιος,terrenus
ἐπεξεργάζομαι,redauspico
ἀλέομαι,euito,deuito
πολύθυτος,corticosus
ἀριθμητός,numerabilis
ἐννέω,praenato,superenato
ἁπτός,tactilis
αὐτοτραγικός,tragoedia
διάφωνος,mese
ὑπάκουσις,historice
ἐπιβόησις,iubilatio,plausibilis
συντορεύω,corrotundo
ἔκκριτος,desursum
σταυρός,palleo
θαμβόομαι,expauidus,compauesco
γαμβροκτόνος,mactatus
ἐκδέχομαι,abstulo
κείρω,caesa
ἐπιμανθάνω,superedo
μονόλυκος,luparius
ὀνοματοποιέω,accudo
ἀριστεύς,praecello
προσεντείνω,subdeficio
λαιμοτομέω,distrunco,deseco
ἱεροκῆρυξ,ceryx
ἵππουρις,anabasis,ephedra
ἔγγραπτος,consignatio
χάσμη,oscitatio,oscitabundus
εἰροκόμος,temperaculum,lanarius
χάσμα,oscitatio
χοροδιδάσκαλος,lanisticius
ἔλυμα,plaumoratum,obaro
ἔξωχρος,perpallidus,uepallidus
λωτέω,tibicino
ἐννέα,nouendialis
κομπολακέω,gloriator
γνωμηδόν,suffragor
πλυντικός,uestiarius
προσράσσω,dispercutio
κεράστης,cerastes
ἔχθω,praeterquam
μεθύδριον,intergarritus
συνεστηκότως,remeaculum
κέρνος,confusaneus
βλῆτρον,colligatio
ἐρύγμηλος,boatus
λουτήριον,pocillum,ciborium
ῥυσόω,rugosus
λάφυρα,exuuiae
ῥυσός,rugosus,pannuceus
ἀνακουφίζω,alleuo
ἔμπτωσις,prolapsus
πλαταμώδης,plautus
μάλαξις,concoctio
πολυκέφαλος,centiceps
λιπαράμπυξ,galbeum
ἀνάλωτος,inexpugnabilis
εὔπολις,carnosus
εὔγναμπτος,puteanus,putealis
νεφριτικός,compositiuus
ὑομουσία,proslambanomenos
φαρμακώδης,batrachion
ἀρισθάρματος,currulis
καρπόω,pomus
ἀνήφαιστος,ignigenus
ἐπιμελητής,curator
χαλκοάρας,parmatus,aerifer
συνεδρεία,assessus
κέλευσμα,iussio
καταπηδάω,subsilio,desulto
ἑκάτερος,uterque
κλύμενος,perinfamis
καταφιλέω,basio,suauium
αὐλίσκος,tubulus
εὐκταῖος,precatio
ἐπιστεφανόω,stega
πῆρος,amissus
θέρετρον,aestiuus
κοίμισις,prosodia
διάταξις,dispositus,dispositura
κατάφευξις,refugium,confugium
δεδιότως,terriloquus,praetimeo
προσαγορεύω,saluto
ἄκραντος,inefficax
ἐντρυφάω,libentia
δερμάτινος,lura
παρεγχέω,defundo
μελάγχλωρος,oleagineus
ταλαϊονίδης,abnepos
εὐρυφαρέτρης,corytos
μελαγκέρως,nocticolor,pulleiaceus
ἐρύσιμον,napy,saurion
προσαυγάζω,superfulgeo
πρόωρος,immaturitas
ὀρειφοίτης,montifer
ὀρθονόμος,mictus
ἀνθεμόρρυτος,manamen,fluxura
ὀνείδισμα,culpatio,incomitio
ἐξευμαρίζω,fabrio
τέρψις,libentia,oblectamen
στόχος,contemplabilis
ἐπορχέομαι,saltatus
παχύτης,densitas,crassities
σκωρία,scoria
παρθενεύω,semipuella
παμφάγος,omniuorus
πραγματεία,negotior
ῥυπτικός,purgatorius
ἀνδροκτόνος,interfectio
ὀρνιθοθήρας,auceps
μητρίς,genetrix
ἀρχιστράτηγος,archiereus
καλλίφθογγος,perpulcher,philocalia
πύρρα,burrus,russus
ἀποτολμητέον,gleucinus
ἀποτοξεύω,taleola
ἁλίπλαγκτος,peruagus
ὅτι,quo
ἀφοδεύω,caco
ὑπερορρωδέω,afformido
ὅτε,nunc
εὐρυρέεθρος,platys
χοανεύω,proiecticius
διαμοιράω,perscindo
μετακόσμησις,emuto
δυσεπίμικτος,consuetio
πολύοψος,pisculentus
ἐνεορτάζω,uitulor
ἐπικομίζω,subueho,subuecto
μαγεύω,latace
ἀάω,zamia
ἀπομίμημα,simulamen,imitamentum
κνήθω,ascalpo
σύνωσις,adactio
ἡγεμονία,magistratus
ῥῖπος,tegeticula
προκόπτω,promoueo
προκοιτία,aduigilo
συγχύνω,stupido
ῥαγδαῖος,uesanio
ἀλαλαγμός,perstrepo
ἀνθοπλίζω,obarmo,bracchiolum
μετακτίζω,semigro
κάρανος,archiereus,archimagirus
τῷ,igitur
ἐνάπτω,subligo
ἀξιόνικος,perdignus,allaudabilis
ἑπτάλογχος,septunx
ᾠδοποιός,mellificium
ἁλουργίς,ostrinus,conchyliatus
στρατιά,agmen
ἀκρατοκώθων,potator
ἀρύω,riuo
συγκάθημαι,resido
ῥακόω,pannuceus
ἐπαγρυπνέω,exopinisso
κυκνοκάνθαρος,intergarritus,intercino
ὡσαύτως,itidem
κατασκιάζω,inopaco
συνεξαιρέω,adiutus
περίσσωμα,concoctio
ὠμίας,platys
ἐνηής,staticulus
περινοέω,pensiculo
ἄπλετος,immensus
εἰσοπίσω,recessim
πότημα,potiuncula
θοάζω,actutum
ἀνασπαστός,amotio
πέπειρα,permaturus
ἄφοδος,abitio
ἕσις,sessus
βούτομον,ulua,carectum
κρεοφάγος,carniuorus
κάτοπτρον,specularius,speculum
ἐγχέσπαλος,quiris
σκήνημα,nidificium,nidamentum
ἐμπρεπής,perspicabilis
μάγος,persea
τρίσκαλμος,triga,tricornis
ἐπικύκλιος,circumroto
κυπάρισσος,cupressinus,cupresseus
περιαλείφω,perlino
ἄθεμις,exlex
συνεξάγω,insimul
τανυγλώχις,punctim,cuspidatim
μυρίκη,tamarix
παρακατακλίνω,superdo
ἔρεισμα,destina
ἐνάλιος,salum,aequoreus
εὐκατάλλακτος,placabilitas
κυαμεύω,subsortior
δημαγωγία,archipirata
ἰδιόομαι,chirographum
ἐμπίς,culex
παροιμιακός,prouerbialis
εὐέλαιος,neopum
καταχής,multisonus,undisonus
κατακρύπτω,celo
θεωρός,praesum
ἀφράδμων,inodorus
ῥίψ,storea
ἔκδικος,ultrix
κατασκήνωμα,ricula
ἐπολβίζω,introuoco
δοριθήρατος,quiris
αἱματορρόφος,compotatio,multibibus
ἐπιτηδευτής,pietaticultrix
ζῳοτροφικός,depastio
τίλσις,botanismus
πυρσεία,eloquium
προσλέχομαι,confutuo
δύσερις,iurgiosus
παράβυστος,angulatim
ἀμείβω,muto
ἐμπειρέω,pergnarus
θεωρίς,deuortium
ἀναστατόω,proiecto
νεόχμωσις,renouamen
ἀπρεπής,dedecor
οἰκοδεσπότης,nauclericus
ὑπέροικος,uls
ἐπιγάστριος,cauernula
οἰκοδομητός,peraedificatus
ἐκσωρεύω,struix,structus
καθέζομαι,obsideo
κακούργημα,falla
λοξίας,zodiacus
πεσσευτικός,potatus
χρήστης,uaticinator
παρέρχομαι,praetereo
ὠφέλησις,opifer
παιδεύω,educo
παλαίφατος,iampridem
πανουργέω,pandurizo
ἀκονάω,exstimulo
εὔλεξις,electilis
ἐγχωρέω,eccere
ἐπαραρίσκω,apto
πεντηκοντάπαις,quinquagenarius,quinquagiens
ταχυκρίσιμος,uentio
δυσαπάλλακτος,perdurus
κυκλοπορία,circuitio
ἐκστέφω,coronamentum
ἀπομετρέω,admetior,permetior
ἐκπρέπω,peregregius
συνδιαβιβάζω,transporto
ἐξωτερικός,deforis
στεφάνωμα,coronamentum
περίστυλος,peristylium
ἐκκαρπέω,semento
ᾆσις,cantabundus,occentus
κολώνη,tumulus
συγκλονέω,collisio
μισοψευδής,cubitor
πατερίζω,introuoco
καινουργής,nouicius
προσοικοδομέω,coaedifico
προσευσχολέω,praecanus
νεήλατος,circumglobatus
ἀνάστημα,exstructio
κίδναμαι,dissemino,superinsterno
ἐκδικία,ducena
προβόλαιος,perquiesco
ἀφρήτωρ,hetaeria
προφῆτις,uidens
ἐρήμωσις,mictus
καταταχέω,primitus
φασιανός,gauia
συνενθουσιάω,miratio
θυστάς,sacrificalis,popanum
ἄστρεπτος,remeaculum
ἰσόταυρος,taurulus
ἐκπερίειμι,circumcirco,laecasin
ἐγκυκάω,remisceo
ῥακόδυτος,palliastrum
ὀνησίπολις,lucrificabilis
διακωλυτής,offex
προεκπέμπω,euergo,missito
ἀμεταπτωσία,immutabilitas,incommutabilitas
διοικίζω,difflo
στῦμμα,astrictorius,stypticus
βορυσθένης,triremis
οἰκετεύω,inhabito
κάλλιμος,perpulcher,philocalia
ἐπαλετρεύω,permolo,emolo
ἀντοφθαλμέω,perfrico
αἰψηροκέλευθος,celox
γενέτειρα,filiola,matercula
θέσις,positus
οἴσυον,cophinus
ἀνεψιός,sobrinus
εὐθύωρος,euthia
κάρυον,nucleus
κότος,ultorius
ἀναζώωσις,ruratio
μύκης,fungus
γραφικός,scriptio
ἀναμέλπω,intollo
κορυφαῖος,coryphaeus
ἐπίκρανον,cucullio
σκέπτομαι,conuiso
πόρπαμα,exaptus,amicimen
πάρετος,sideror
ἀνταίρω,insurgo
ἀκέσιος,medicamentosus
καταπαύω,supprimo
ἀνταυγής,scintillatio
χειμαρρώδης,harundinaceus
σχοινοειδής,tortum,resticula
ἀγωνοθεσία,quattuoruiratus
ὠκυπέτης,praeuelox
κολυμβάω,urinor,inurino
καθηγητής,professor
προδιαγωγή,transitorius
βαλβίς,punctim
εὐθετέω,compositiuus
κυμβίον,pocillum,asella
παντάλας,uniuersaliter
συγκαταφλέγω,semustulo
δονακόεις,harundineus
ἀλλοδαπός,diutinus
ἐγκαταβαίνω,praeoccido
ὁμόφοιτος,euasio
ἀπόρρυτος,deiugis
πύργωμα,parietinus
ἀνάδαστος,reneo
κολυμβίς,urinator
ἄχθος,onusto,grauido
λάξις,circumluuio
ὑδάτιον,heluella,asella
προπυνθάνομαι,addisco
συγκοινωνέω,socialitas
λευκοφαής,percandidus
γραφίς,cestrum
ἐρημόπολις,urbanicianus
γαζοφύλαξ,dioecetes
ἐξαφύω,supertraho
σικιννοτύρβη,monaulos
ἀμφιμήτορες,bimatris
ῥοθιάζω,confligium
δαί̈φρων,sapidus
ἀβακής,praemitis
ὁμοιωτικός,analogicus
ὑπεναντιόομαι,refragor
εὔπατρις,generosus
ἀποπορεύομαι,redambulo,abito
ὑπεκδύομαι,elabor
παλμός,incitatus
εὐρυμέτωπος,latifolius
πολυανδρεῖον,chydaeus
ἄστεπτος,incoronatus
πηλιάς,inscendo
ἡμερίς,uitigineus,uitineus
ἀμισθί,remuneror
πανουργιππαρχίδης,trifurcifer
μεταβολή,muto
διχῆ,bipatens,bifarius
πετροβολικός,calculensis
ἀποχραίνω,phthongus
ἐπιτεχνάζω,dochmius
ῥιγόω,algidus,frigor
ἄϋπνος,insomnis,indormis
πλειστόμβροτος,perfrequens
ἀπόφθεγμα,mucronatus
πανομφαῖος,hydromantia
ἀφάνεια,dubietas
διακενόω,subinanis
ψαμαθώδης,harenaceus,sabuleta
πάκτων,acatium,acatus
ἐπισπονδή,onychitis
ἀρχαιολογικός,herbipotens
ἀμφίστομος,bifarius
εὐαίων,felicito
μέγεθος,magnitudo
ἀνταποδείκνυμι,reuentus
ἀναγόρευσις,pronuntiatio
λῆμνος,thos
αἴξ,hircinus
λυμαντήριος,damnigerulus
ὀξυήκοος,impromptus
συγκαταλέγω,catalogus
χωράζω,antepono
βορβορυγμός,ructabundus
ἀνάλγητος,dolentia
βδελύσσομαι,taedio
λιχανός,linctus
ἵππος,equus
ἀστερόφοιτος,sideralis
δημότερπής,inuitabilis
αἰγλήτης,radiosus
κιρκήλατος,epileus,cybindis
ἐπεισοδιόω,conuario
μετατροπαλίζομαι,offlecto,uerrunco
ὑδρωπιώδης,hydropisis,ascites
μεγαλάρτια,coepulonus
κάθετος,cathetus
καλλιπέτηλος,philocalia
ψῦξις,frigorificus
πόλος,polus
πάχετος,neruositas
διαιρέω,diuido
ἀνθαιρέομαι,uindiciae
ἐμφράσσω,traductus
ἐγρήγορσις,gleucinus
λαμπρός,clarus
σύμφρων,consipio
κατάκαρπος,praefecundus
προμήκης,utrubi
ἑσπέρα,uesperus,uespertinus
φήμη,rumor
ἰδέα,figura
ποδοχέω,moderamentum
σχηματισμός,inclinatus
συναναλίσκω,tabifico
ὀρθοέπεια,phrasis
ἐπιστροφή,flexus
εὔδουλος,chiramaxium
δυσχείρωμα,perdurus
ἀνταγορεύω,reclamito
συμβολή,collecta
ἐπιμέμονα,catulitio
ὑστάτιος,finalitas
ἀπημοσύνη,impunitas
δυσέργαστος,perarduus
τρώκτης,insatietas
ἐννύχιος,pernocto,euphrone
κομμώτρια,uinitor,uinitorius
χαλκοτειχής,extramuranus,aerifer
βουθυσία,buthysia,hecatombe
ἔσθημα,uestiarius
θεσμός,legitimus
βαρυηχής,grauiusculus
ταραξιππόστρατος,infestatio
συνεκτίκτω,prosero
φιληδονία,mulierositas
τρύπημα,circumforatus
χαλκοχάρμης,oblectatorius
ἀνάπτωσις,accubitatio
προστραγῳδέω,ostensionalis
ἀποκάμπτω,regyro
μοιμυάω,pytisma
διάζευξις,seiunctio
ὑπέρπτωχος,perpauper
ἱπποκομέω,strator
ἐπαείδω,praecino
ὅπλισις,confectura
νῆσις,quasillaria
ἔναγχος,nuperus
καταγωγή,educatus
ἀποστασία,apostasia
ἐκεχειρία,indutiae
μαγειρεῖον,popinalis
προβραχής,uadosus
μύστις,mystagogus
ἐντύνω,fabrio
προσβιβάζω,importo
σπανιότης,uaciuitas
συλήτειρα,direptor,despoliator
ὅταν,quoniam
ἀντίρρους,manamen
ἀκήλητος,excanto
σῶμα,corpus
ποιολόγος,herbifer
κατερέφω,subtegulaneus
γήινος,leucogaeus,terrigena
κρείων,dominator
μυριάκις,millies
φιλαπλοϊκός,amasiunculus
παραβλητός,comparabilis,aequiparabilis
ἄτρητος,multiforabilis
κηπουρικός,topia
διενιαυτίζω,peranno,annualis
ἐπαναδιπλάζω,ingemino
κλωστός,amiantus
ἐλελίχθων,brasmatiae
σκηνογραφία,praestigium
ἠπεδανός,sublestus
παραίρεσις,interceptio,ablatio
ἀγάπημα,deliciolae
πολύβοσκος,alebria
συγκατοικέω,cohabito
βαβαί,beatifico
κληρουχία,diuisus
στραγγεύομαι,uentio
νικηφορία,epinicium
παρευτρεπίζω,inordino
ξενών,hospitor
ἀρτιάκις,inaequo
καταδέρκομαι,despecto
ἀπαρκέω,suppeto
γλυφεύς,carptor,signifex
ὑποδηλόω,celatim
δυσσύνακτος,corrogo
τρίπους,tripedaneus,tripedalis
φανίον,stacton
περιτόναιος,omentum
πυλοιγενής,amnigena
νεώρης,deseco
ὑπνωτικός,soporifer,somnificus
βοτάνηθεν,bucetum,pascito
συνθάπτω,humatio
ἀνυπομόνητος,toleratio
κατεπαγγέλλομαι,pollicitor
μετάστασις,amotio
ἴκμενος,umectus
συσκοτάζω,xerampelinae
ἰσχουρέω,saccatum,lotium
μελοποιέω,proslambanomenos
μειρακιεύομαι,pandurizo
προσεγγράφω,interstruo
ἐνδόμυχος,prodicius
οἰνόφλυξ,madulsa,temulenter
γαληνιάω,pacificatorius
δαψίλεια,fecunditas
τρέχω,percurro,discurro
ἐκποκίζω,capillitium
θεός,deus
ἀλλοιότης,emutatio
καυτήρ,ustor,cremator
εὐέκτης,suetudo
μεταφορικός,labidus
ἄθρυπτος,inabruptus
συμπαραπέμπω,satellitium
ἐξαγριόω,perferus,efferus
μακρολογέω,longinquitas
δατύσσω,transuoro,uoro
εὔρυτος,fluxura,manamen
αἰτιολογέω,requirito
δυσώνυμος,nominito
λειόφυλλος,laburnum
ζύμωμα,concrementum
κακκανῆν,instigo
εἰκοσταῖος,uicesimani
πλεονεκτέω,lucrum
ἀποκηρύσσω,auctionor
ὁποσαχοῦ,quotlibet,quotcumque
ἕκαστος,quisque
κλισμός,uolentia
κηροχυτέω,cerosus
καραδοκέω,manto
συσκοπέω,peruiso
ἑρμηνεία,interpretatio
γυναικομανία,mania,lymphatus
στόλισμα,amicimen
καθάπαν,uniuersim
στόμωσις,duramentum
ἀνακηρύσσω,ceryx
εὐγωνία,multangulus
ἀπόρρητος,celatum
ὁμοτράπεζος,discubitus
εὐχωλιμαῖος,uotiuus
ἀδίκιον,zamia
ἐνσκίμπτω,dependulus
ἄγκαθεν,hysterologia
κοτήεις,zelotypus
αἴθυια,naucula
ἀσύμφυλος,indissimilis
ἀνομολογέομαι,syngrapha
ἀναλίσκω,consumo
ἐξανάπτω,circumpendeo
ἀνδραγαθίζομαι,pandurizo
δατέομαι,discrimino
χωστρίς,scrobiculus
ἀπάγω,abduco
σύμπτυκτος,plicatilis
ἀνύβριστος,iniunctus
προσευκαιρέω,otiolum
λουτρών,balnearius,lauatio
ἔπαρμα,puluinatus
ἐπίτοκος,anatocismus,faenerato
παρών,puppis
λεσχηνεύω,uerbigero
στρατηγός,imperator
μήτε,neue
φιλήνιος,acceptio
ἐνόδιος,deuortium
κρούω,pulto
ὑφορατέον,gleucinus
ὑστριχίς,ephedra
ἀπραγέω,perpaco
βιοτεύω,prouiuo
κατόψιος,semiconspicuus
ἁλίειος,piscator
λίχνευμα,mattea
ἁγιωσύνη,sanctitudo
σύδην,uiolenter
εὐεστώ,puteanus
παραξέω,infrico
δυσκύμαντος,nimbifer
ἄφερτος,impetibilis
ἀμφιδάκρυτος,uniuersaliter
ποίκιλμα,uariantia
παράφορος,auolo
προκλαίω,praeformo
ὑπατικός,consularis
περίτονος,gausapatus
κερκιστική,textorius
δῶρον,datus
δυσθυμία,aegreo
βαρύκομπος,rudor,boatus
εὐοψέω,lelepris,ophthalmias
λάμπη,facula
ψευδοκῆρυξ,ceryx
ἐξαποστολή,exactus,amandatio
ἀποθρηνέω,eiulo
νεογενής,congenitus
μαζίσκη,hordeum,ptisana
προσκομίζω,subuecto,supporto
χάος,barathrum
ἐντριτωνίζω,ternarius
φυτουργέω,olitor
ὑπερτερία,exsuperantia
φύλαξις,conspicillum
αὐτοδάϊκτος,imperditus
ἐλαττονόω,curto,extenuo
μήπω,nondum
ἐπιπταίρω,sternuto
ῥικνός,rugosus
ἐμποιητικός,effectiuus
λώτινος,lotometra
κώμη,uicus
ἑβδομαγέτης,septimanus
ἐπιβριθής,prolapsus
ἀβλεπτέω,postputo
ἀσύμβατος,dissocialis
ταλαντοῦχος,diagramma
ὑπερκαταγέλαστος,perabsurdus
νεόκτιστος,nouicius
δραχμιαῖος,iugeratim
δυναστευτικός,tyrannicus
στενωπός,angiportus
ἀμφί,circa
δεχεπτά,septendecim
τιμάω,aestimo
ἐκκόπτης,excaecator,deliberator
ἐπιστασία,dominatio
κατασχίζω,inspico
καλαμόω,canna
κατεξανίσταμαι,desurgo
ἀνακούφισις,aberratio
ψυχικός,animula
πέλεια,columbus
δημόσιος,publicus
ὑποκαίω,ignesco
πειθαρχέω,obtempero
καταιβάτης,descensio
ὀρρωδία,reformidatio
δυσελπιστία,abiectio
φιλοδοξέω,pabulor
νησιωτικός,ephyre,insulanus
δικτυβόλος,piscator
ψοφοδεής,quoquouersus
ἀναβαθμός,scalaris
πηδάλιον,cerua
δισσός,bifarius
πεντεκαιδεκαταῖος,quintadecimani
ἀνταιδέομαι,reuentus,reuerticulum
νηκτός,natatio,natatus
προβατευτικός,ouinus
σκευαστός,artificialis
βασσάριον,uulpecula,uulpio
μνήστευμα,procatio
ἔξαρχος,coryphaeus
ἀναπράσσω,perpensatio
μοχθόω,taedio
οἶνοψ,uinarius,uillum
λήϊτον,consentium
ὀλόπτω,circumscindo
εὐήροτος,parabilis
δάκνω,mordeo,morsus
ἐκθεάομαι,reuideo
ἄδιψος,siticulosus
λικνοφόρος,asportatio
χυτρώδης,ollula,matellio
θεοφορέω,desacro
μαιευτικός,obstetricius
ὑπερκοπόω,retritus
πονηροκρατέομαι,municipatim
ἱεράομαι,sacerdos
εὐώψ,unoculus
ἐλεφαντιστής,barritus
διαφανής,burrus
κελαινώπας,nocticolor
ἀτέρμων,innumerabilitas
ἀφήγημα,rectio
ὀρθόπους,rigoratus
ὑγίεια,ualetudo
ἀπροσεξία,inopiosus
ἡμικύκλιος,hemicyclium
περικυλινδέω,subuoluo
ἐργάσιμος,temperaculum
φράσις,dictio
λιγύφθογγος,dissereno
ἥσσων,minoro
παρατίθημι,antepono
μυλεύς,tutorius
παρεάω,neglectus
στολάς,remigo
ἐπιδιφριάς,currulis
φόβος,metus,timor
ἀνακραυγάζω,occlamito,elatro
ὁδουρός,gubernatrix
ἐνοχλέω,molesto
ῥαγίζω,uindemio
κατάλοιπος,remansio
ἐμπειρία,imperitus
λεόντειος,leontios,leontopodion
ἀμέργω,subuello,exurgeo
χειμών,hiems,hibernus
ἀπολίτευτος,forica
ἐρείκη,tetralix,erice
τετράπαλαι,perdudum,iampridem
ἀρχαιολογία,historicus
ἰτέα,salignus
ἐρείκω,scissilis
ὑποχάζομαι,obsterno
εὐσπλαγχνία,peruicacia
ὄναγρος,lalisio
οἷ,quorsum
ἀγχιβάτης,apogeus
δρεπάνη,falcula,harpaga
ὀπάζω,persequor
ἐπανακομίζω,remeaculum,redambulo
ἀνενδοίαστος,indubitabilis
διατρέπω,auersor
φορμηδόν,transuado
ὑπομενετικός,longanimis
ὁμόθρονος,homonymus
δίκελλα,bifurcus,mergae
ἄχιλος,chortinus,herbeus
δύσυδρος,permingo
ἄλειψις,unctura,unctus
μίμημα,imitor
ὑπογενειάζω,exobsecro
ἀργυρίζομαι,nummulus
ἐπαύρεσις,myxum
ἰδιότης,proprietas
ἥβησις,pubertas
πλατύφυλλος,laburnum,latifolius
χειρισμός,tractatio
ἐράσμιος,philus
ἐρεθίζω,prouoco
ὑποπρό,progesto
ἄρριχος,calathiscus,aero
φόνιος,sanguineus
ἐραστός,philus
τεκμήριον,proba
διόσδοτος,datarius
ἰαμβικός,iambeus,iambicus
καταστοχάζομαι,contemplabilis
ἐπανάγκης,coactus
παρέλκω,riuo
ὑποτιμάω,reuerticulum
σαβοῖ,coepulonus
ἔγχυμος,sucosus
ἑρμαῖος,lucrificabilis
συγκάλυμμα,instratum,obtectus
ὀφέλλω,praegressus
πυροφορέω,dracontion
ἀραίωσις,spongiosus
κοιλαίνω,cauerno
δεξίωσις,resalutatio
συνορμίζω,ancorarius
πτύσμα,ptyas
ταινία,taenia
κρουσιδημέω,perfabrico
κίσσινος,nysion,hedera
φοινικοσκελής,scambus,erythros
γηθέω,congaudeo
φορμορραφέομαι,tegeticula
ἀστήρ,stella
δαήμων,eruditulus
ὑπεραρέσκω,perplaceo
ψωρώδης,ostreatus
διέκ,transuerbero,transadigo
περιφέρω,rotundo
παρατροπή,ecbasis
πολυκοιρανία,totiugus
διαφωνέω,depereo
λευστήρ,lapidator
εὔκρατος,abstemius
ἀτρεμέω,tranquillo
ἄφαντος,inuisibilis
φίλιος,amico
ὑψόθι,aerius
ἀμορβάς,praeminister
ἐκποιέω,adoptaticius
θηλυδρίας,perfluus
κνύζα,psoricus
εὕρημα,repertus
ὑποσκαλεύω,permoueo
ἀπεργασία,perficus
ἵππευσις,equitatio,praeteruectio
εὐκοινόμητις,deliberabundus
προσπλωτός,peruiam,nauigabilis
θῦμα,uictima
αὐτογενής,serpentigena
μεθάρμοσις,emutatio
ἔνδικος,iuridicialis
καθηγεμών,gubernius
προλαλέω,primulus
πληθυντικός,pluratiuus,pluralis
καταπαιδεραστέω,tabifico,effutuo
ψηνίζω,gruo,admigro
πλούτων,praedo
λακκόπρωκτος,renodis
ἐνάρχομαι,incipisso,principio
ὕπαιθρος,patefacio,resutus
ὁρμή,impetus
ἐλαφρότης,strenuitas
παράνοια,lymphatus,mania
ἀνθυφίσταμαι,suscepto
τάσσω,ordo
εὐωχέω,epulor
χαλαζώδης,chaere,grandinosus
συνθήγω,perlimo
ἐπίσκληρος,subdurus
ἐπικτάομαι,appario
οἷπερ,nequo
περίψυχρος,perfrigidus,frigiditas
πυργοειδής,turricula
ἀντιλογίζομαι,renumero
ναύτης,nauta
ἐμπορπάω,succollo
ποδανιπτήρ,lotio
πρόσκρουσμα,scandalum
περσιστί,sarcocolla,mithrax
περίπηξις,congelatio
προεπίσταμαι,percalleo,sardo
ἐπικατακλύζω,restagno
δραστήριος,operosus
ἀνάρρησις,pronuntiatio
ἐπίτονος,neruinus
ἀστρατεία,uacatio
προσκατερείπω,subuerso
δυσίμερος,dilectio
μαχαιροφόρος,acinaces
ἐνερείδω,incubito
ἀμπελόφυτος,uinealis,uinearius
τυραννοκτονία,tyrannoctonus
περιπολέω,obambulo
ἐπιμύσσω,risio
ξενοφόνος,xenodochium
κατασπείρω,achillea
ἀναξίαλος,pelagicus
κατασκήπτω,ingruo
κινδυνευτής,spatalocinaedus
πτύον,flabello
ἀντιπολίζω,perstruo
ἐξαμύνομαι,aspello
ἀπολογία,defensa,patrocinium
λίτρα,pisto
δεκάρχης,decurionatus
ἔτειος,anniculus
δενδροφορία,buxifer
ὑφορμίζομαι,ancorarius
ψυχαγωγέω,perducto
μεταποιή,emutatio,emuto
παραπνέω,flato
ἐξάδελφος,sobrinus
ὠθέω,protrudo
διακόσιοι,duceni,ducenti
πολυᾶϊξ,effrenatio
ἀμφικίων,columnatio
κατορθωτικός,litatio
ἐπιούσιος,hemeresios,indies
παλαιότης,antiquitas
ἐξοίχομαι,permaturus
ἠρινός,uerculum,fontanus
ὀλιγάκις,millies
μεταμφιάζω,cataclista
χέρσος,siccus
προσάρκτιος,aquilonius
μύω,praecludo
ἔνθηρος,elaphoboscon
ἀβασάνιστος,dolentia
μῆνις,iracundia
διακεκριμένως,seiunctim
ἀποξυστρόομαι,semireductus
τεσσαρεσκαιδεκέτης,trimulus
μυξοποιός,mucus
εὐδιάφθορος,agitabilis
φρικοποιός,horrentia
ἐννεάχιλοι,milleni
λευκαίνω,albico,albidus
ἐγγύη,obses
νεόγραπτος,infucatus
ἐκκλινής,nauseabundus
εὔφρων,exhilaro
ἵδρωσις,sudatorius,exsudo
ἀμνός,agninus
λύσις,solutio
γηροβοσκός,prospicus
βάδισμα,deambulo
παρηγορητέον,gleucinus
ἐντάφιος,sepultura
προεμβιβάζω,progesto,anteuentulus
